"MSPEC","CIE_L.hd","CIE_a.hd","CIE_b.hd","R.hd","G.hd","B.hd","CIE_L.fd","CIE_a.fd","CIE_b.fd","R.fd","G.fd","B.fd","CIE_L.b","CIE_a.b","CIE_b.b","R.b","G.b","B.b","CIE_L.hv","CIE_a.hv","CIE_b.hv","R.hv","G.hv","B.hv","CIE_L.fv","CIE_a.fv","CIE_b.fv","R.fv","G.fv","B.fv"
"1062",39.3222,5.2536,1.8916,102.0155,89.8533,89.7656,40.6249,5.3708,4.2972,107.0257,92.6108,89.0103,50.9171,2.996,3.1954,129.4013,120.586,116.8757,51.9384,4.5192,12.2151,139.3934,120.65,103.2907,54.429,4.8051,12.1829,146.4825,126.8214,109.6456
"1093",38.4414,4.5379,8.1262,102.7238,87.7676,77.6306,42.0354,4.5347,10.6252,113.1435,96.196,81.9567,44.3288,2.095,3.6042,112.46,105.4567,100.61,54.0442,3.499,13.0771,143.7555,126.5052,107.0014,54.3518,4.2617,12.7387,145.6964,126.8611,108.4192
"1102",38.7633,4.3727,7.9665,103.3282,88.6278,78.655,41.9634,4.9094,9.2338,112.7326,95.8902,84.0839,44.136,2.2281,4.1038,111.4059,103.7028,98.1834,50.4252,3.7891,13.2482,134.9527,117.182,97.7618,51.5868,4.6721,12.9299,139.2655,119.6334,101.3091
"3701",36.9688,4.2807,1.3774,94.4389,84.7175,84.8599,36.9366,4.5058,1.9901,95.1577,84.5003,83.8593,39.8825,2.7441,4.2065,101.9291,93.3429,87.9759,45.5438,3.6838,11.379,121.181,105.2641,89.1052,49.0073,3.4144,12.4137,130.1684,113.8541,95.7978
"3729",40.4298,5.1097,10.4257,109.7841,91.8986,78.4516,41.455,5.8015,12.7755,114.6987,93.8703,77.13,43.2279,4.0848,6.7764,114.3187,100.987,92.295,47.7197,4.1672,12.8632,128.3791,110.242,91.9107,49.6698,4.0964,12.9004,133.2954,115.1238,96.6191
"797",41.1773,4.9892,5.7377,108.739,94.2361,87.9154,44.0893,5.0369,9.8921,118.5724,100.8901,88.0267,51.3167,2.5541,5.7149,130.8778,121.1486,113.1467,53.2204,3.4045,13.261,141.6003,124.4198,104.6178,54.2738,4.0888,12.8918,145.3402,126.73,107.9347
"826",40.8004,5.8119,1.8645,106.5413,93.0048,93.2848,39.387,6.1154,4.1237,105.0873,89.3398,86.3937,42.5272,2.7807,4.1597,109.166,100.5657,95.2913,52.2724,3.836,11.915,138.9481,121.9621,104.667,52.8833,4.3544,12.8299,142.0812,123.1517,104.7091
"855",41.2918,5.5177,7.9989,111.3374,94.059,84.5113,44.5826,5.3427,10.443,120.7756,102.0126,88.418,44.3625,3.6922,4.6384,114.0655,102.9583,97.5467,49.0289,5.4228,11.75,133.2234,112.9482,96.9774,55.3423,5.4896,13.2288,150.7452,128.7,110.0449
"888",39.0733,4.8219,0.8244,100.0652,89.6224,90.891,38.2502,5.2075,1.1434,98.9282,87.3317,88.3758,48.9861,2.6334,4.6332,124.4579,115.3993,109.1188,58.5926,3.0868,12.3799,154.8508,138.5601,119.6684,54.7954,4.0314,12.9613,146.7577,128.1748,109.1323
"979",39.7426,5.5282,-0.9217,101.5054,90.8625,95.3017,40.08,5.3844,0.4954,103.2488,91.6353,93.903,39.9775,2.6238,4.1841,102.0028,93.579,88.2156,46.2066,4.0387,11.344,123.6304,106.8227,90.8776,50.7416,4.3169,11.826,136.038,117.8947,101.1668
"998",40.4608,5.6952,0.3325,103.9641,92.4922,94.9654,38.0083,5.5878,6.1884,101.7135,86.1825,79.736,51.6051,2.444,4.2951,131.4662,122.8725,117.0948,53.2539,4.1107,13.2042,142.856,124.1924,104.874,53.5224,4.7538,12.9664,144.532,124.5338,106.0596
"1117",39.7066,5.4818,2.451,103.8365,90.6635,89.7935,41.37,5.6022,5.2184,110.0366,94.277,89.2789,45.7718,2.418,3.1372,114.0564,106.8402,103.0522,51.494,3.8802,11.3381,136.5752,119.9123,103.6329,53.1279,4.4027,12.0561,142.3267,123.6972,106.5279
"1124",42.3045,6.5464,1.7917,111.3643,96.3175,97.067,40.5682,6.824,2.578,107.9729,91.8156,91.6439,52.6393,2.3042,4.6945,132.1197,123.7889,117.406,56.2232,3.6015,11.7343,148.9824,132.1621,114.802,54.1572,4.5609,12.7163,145.7095,126.2429,107.9844
"1125",38.2323,5.2999,3.3748,100.3563,87.1353,84.7609,40.6863,5.4931,7.4198,109.3158,92.5682,84.0097,45.0965,3.2671,5.2923,116.2578,105.5863,98.7889,49.8982,3.9894,12.2003,133.2973,115.874,98.3834,51.4953,4.5367,12.1537,138.3567,119.4911,102.3344
"1199",42.1919,4.702,6.8501,111.3854,96.7623,88.4903,42.869,6.2366,8.2964,116.2717,97.4001,87.7789,43.092,3.2168,6.3918,111.1348,99.8945,91.4349,54.7121,3.945,14.1274,146.8664,127.8509,106.8121,54.5243,4.4146,13.8275,146.9955,127.1059,106.9209
"1866",38.1862,4.8141,7.9039,102.3476,86.7799,77.2198,41.2782,4.7444,10.1538,111.2225,94.1474,80.9192,44.9057,3.5414,5.1353,115.6821,104.571,98.3063,44.5906,4.1897,10.5678,119.1613,102.6291,88.1713,48.712,4.2909,11.3448,130.3033,112.6718,96.8713
"1971",33.8669,4.006,4.7851,88.8295,77.3823,72.2788,34.9068,3.8053,8.1544,93.0829,79.7417,69.3644,38.2037,2.3003,5.7078,97.956,89.0931,81.0811,54.3055,3.5081,14.8906,145.5711,127.0846,104.5,52.686,4.0232,12.7605,140.9496,122.7913,104.2354
